Week,Binghamton shootings: (Worldwide),Carthage nursing home shooting: (Worldwide),Kirkwood City Council shooting: (Worldwide),Trolley Square shooting: (Worldwide),Capitol Hill massacre: (Worldwide)
9/19/09,0,0,0,0,0
9/26/09,0,0,0,0,0
10/3/09,1,0,0,0,0
10/10/09,0,0,0,0,0
10/17/09,0,0,0,0,0
10/24/09,0,0,0,0,0
10/31/09,0,0,0,1,0
11/7/09,1,0,0,0,0
11/14/09,0,0,0,0,0
11/21/09,0,0,0,0,0
11/28/09,1,0,0,0,0
12/5/09,0,0,0,0,0
12/12/09,1,0,0,0,0
12/19/09,0,0,0,0,0
12/26/09,0,0,0,1,0
