Week,2012 Oak Creek shooting: (Worldwide),Marysville Pilchuck High School shooting: (Worldwide),2013 Santa Monica shooting: (Worldwide),2011 Seal Beach shooting: (Worldwide)
11/28/15,1,0,0,0
12/5/15,1,0,0,0
12/12/15,0,0,0,0
12/19/15,0,0,0,0
12/26/15,0,0,0,0
1/2/16,0,0,0,0
1/9/16,0,0,0,0
1/16/16,0,0,0,0
1/23/16,0,0,0,0
1/30/16,0,0,0,0
2/6/16,0,0,0,0
2/13/16,0,0,0,0
2/20/16,0,0,0,0
2/27/16,0,0,0,0
3/5/16,0,0,0,0
3/12/16,0,0,0,0
3/19/16,0,0,0,0
3/26/16,0,0,0,0
4/2/16,0,0,0,0
4/9/16,0,0,0,0
4/16/16,0,0,0,0
4/23/16,1,0,0,0
4/30/16,0,0,0,0
5/7/16,0,0,0,0
5/14/16,0,0,0,0
5/21/16,0,0,0,0
5/28/16,0,0,0,0
6/4/16,0,0,0,0
6/11/16,0,1,0,0
6/18/16,0,0,0,0
6/25/16,0,0,0,0
7/2/16,0,0,0,0
7/9/16,0,0,0,0
7/16/16,0,0,0,0
7/23/16,0,0,0,0
7/30/16,0,0,0,0
8/6/16,0,0,0,0
8/13/16,0,0,0,0
8/20/16,0,0,0,0
