Week,2011 Seal Beach shooting: (Worldwide),2014 Fort Hood shooting: (Worldwide),Oikos University shooting: (Worldwide),"2009 shooting of Lakewood, Washington, police officers: (Worldwide)"
12/28/13,0,0,0,0
1/4/14,0,0,0,0
1/11/14,0,0,0,0
1/18/14,0,0,0,0
1/25/14,0,0,0,0
2/1/14,0,0,0,0
2/8/14,0,0,0,0
2/15/14,0,0,0,0
2/22/14,0,0,0,0
3/1/14,0,0,0,0
3/8/14,0,0,0,0
3/15/14,0,0,0,0
3/22/14,0,0,0,0
3/29/14,0,26,0,0
4/5/14,0,5,0,0
4/12/14,0,1,0,0
4/19/14,0,1,0,0
4/26/14,1,0,0,0
5/3/14,0,0,0,0
5/10/14,0,0,0,0
5/17/14,0,0,0,0
5/24/14,0,0,0,0
5/31/14,0,0,0,0
